City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,duverge,18.3784,-71.5247,27.53,81,100,2.22,DO,1722042901
305,port-vila,-17.7338,168.3219,25.78,57,75,7.2,VU,1722042817
306,kenai,60.5544,-151.2583,18.34,64,75,12.86,US,1722042903
307,varennes-vauzelles,47.0168,3.1404,21.73,91,100,0.43,FR,1722042904
308,longboat key,27.4125,-82.659,28.9,67,75,4.12,US,1722042906
309,yelizovo,53.1873,158.3805,20.08,64,40,5.0,RU,1722042907
310,lazaro cardenas,17.9583,-102.2,29.14,74,52,4.1,MX,1722042908
311,sisimiut,66.9395,-53.6735,4.76,82,100,0.21,GL,1722042909
312,al kharijah,25.4514,30.5464,29.97,29,68,4.09,EG,1722042910
313,kourou,5.1552,-52.6478,24.03,93,100,2.47,GF,1722042912
314,sarangani,5.4033,125.4636,28.01,74,88,4.79,PH,1722042913
315,mount gambier,-37.8333,140.7667,8.14,84,100,4.65,AU,1722042914
316,pecos,31.4229,-103.4932,35.05,20,0,5.14,US,1722042915
317,igarka,67.4667,86.5833,16.9,85,100,1.96,RU,1722042916
318,danielskuil,-28.1887,23.5395,4.8,32,0,2.37,ZA,1722042918
319,malvan,16.0667,73.4667,27.27,85,100,8.91,IN,1722042919
320,shingu,33.7333,135.9833,32.17,61,100,2.63,JP,1722042920
321,zag,46.9441,99.165,17.37,57,95,0.74,MN,1722042922
322,monduli,-3.3,36.45,14.73,74,56,2.79,TZ,1722042924
323,charters towers,-20.1,146.2667,23.03,54,83,4.11,AU,1722042925
324,eslov,55.8393,13.3039,18.01,97,100,2.49,SE,1722042926
325,klaksvik,62.2266,-6.589,11.51,91,99,8.89,FO,1722042927
326,vila velha,-20.3297,-40.2925,22.97,83,0,2.57,BR,1722042928
327,polyarnyy,69.1989,33.4478,15.76,63,9,5.0,RU,1722042930
328,sinop,41.7711,34.8709,16.99,94,100,1.38,TR,1722042931
329,kavaratti,10.5669,72.642,28.01,86,100,9.21,IN,1722042932
330,cannonvale,-20.2833,148.7,23.66,70,93,2.72,AU,1722042933
331,sao francisco,-15.9486,-44.8644,23.74,54,100,2.08,BR,1722042935
332,fortaleza,-3.7227,-38.5247,26.79,78,20,5.14,BR,1722042936
333,timimoun,29.2639,0.231,34.19,16,0,4.38,DZ,1722042937
334,dakhla,23.6848,-15.958,19.52,93,6,7.12,EH,1722042938
335,fort bragg,35.139,-79.006,25.25,88,100,2.06,US,1722042939
336,benton harbor,42.1167,-86.4542,23.11,73,0,1.54,US,1722042941
337,khowy,38.5503,44.9521,22.14,61,0,1.48,IR,1722042942
338,ikem,6.779,7.7169,22.31,97,100,2.22,NG,1722042943
339,new norfolk,-42.7826,147.0587,11.07,69,100,1.67,AU,1722042944
340,balnearia,-31.0088,-62.6673,14.27,47,100,2.76,AR,1722042945
341,bay roberts,47.5999,-53.2648,17.51,93,100,0.45,CA,1722042947
342,jiexiu,37.0244,111.9125,28.25,50,0,3.28,CN,1722042948
343,leava,-14.3,-178.1667,26.23,68,87,7.5,WF,1722042949
344,camana,-16.6228,-72.7111,15.23,85,38,3.62,PE,1722042950
345,osakarovka,50.565,72.5692,16.91,65,0,3.49,KZ,1722042951
346,saint joseph,39.7686,-94.8466,28.64,71,0,3.93,US,1722042807
347,moyale,3.5167,39.0584,19.78,68,100,6.21,KE,1722042954
